date,value
2019-01-01,985
2019-01-02,801
2019-01-03,1349
2019-01-04,1562
2019-01-05,1600
2019-01-06,1606
2019-01-07,1510
2019-01-08,959
2019-01-09,822
2019-01-10,1321
2019-01-11,1263
2019-01-12,1162
2019-01-13,1406
2019-01-14,1421
2019-01-15,1248
2019-01-16,1204
2019-01-17,1000
2019-01-18,683
2019-01-19,1650
2019-01-20,1927
2019-01-21,1543
2019-01-22,981
2019-01-23,986
2019-01-24,1416
2019-01-25,1985
2019-01-26,506
2019-01-27,431
2019-01-28,1167
2019-01-29,1098
2019-01-30,1096
2019-01-31,1501
2019-02-01,1360
2019-02-02,1526
2019-02-03,1550
2019-02-04,1708
2019-02-05,1005
2019-02-06,1623
2019-02-07,1712
2019-02-08,1530
2019-02-09,1605
2019-02-10,1538
2019-02-11,1746
2019-02-12,1472
2019-02-13,1589
2019-02-14,1913
2019-02-15,1815
2019-02-16,2115
2019-02-17,2475
2019-02-18,2927
2019-02-19,1635
2019-02-20,1812
2019-02-21,1107
2019-02-22,1450
2019-02-23,1917
2019-02-24,1807
2019-02-25,1461
2019-02-26,1969
2019-02-27,2402
2019-02-28,1446
2019-03-01,1851
2019-03-02,2134
2019-03-03,1685
2019-03-04,1944
2019-03-05,2077
2019-03-06,605
2019-03-07,1872
2019-03-08,2133
2019-03-09,1891
2019-03-10,623
2019-03-11,1977
2019-03-12,2132
2019-03-13,2417
2019-03-14,2046
2019-03-15,2056
2019-03-16,2192
2019-03-17,2744
2019-03-18,3239
2019-03-19,3117
2019-03-20,2471
2019-03-21,2077
2019-03-22,2703
2019-03-23,2121
2019-03-24,1865
2019-03-25,2210
2019-03-26,2496
2019-03-27,1693
2019-03-28,2028
2019-03-29,2425
2019-03-30,1536
2019-03-31,1685
2019-04-01,2227
2019-04-02,2252
2019-04-03,3249
2019-04-04,3115
2019-04-05,1795
2019-04-06,2808
2019-04-07,3141
2019-04-08,1471
2019-04-09,2455
2019-04-10,2895
2019-04-11,3348
2019-04-12,2034
2019-04-13,2162
2019-04-14,3267
2019-04-15,3126
2019-04-16,795
2019-04-17,3744
2019-04-18,3429
2019-04-19,3204
2019-04-20,3944
2019-04-21,4189
2019-04-22,1683
2019-04-23,4036
2019-04-24,4191
2019-04-25,4073
2019-04-26,4400
2019-04-27,3872
2019-04-28,4058
2019-04-29,4595
2019-04-30,5312
2019-05-01,3351
2019-05-02,4401
2019-05-03,4451
2019-05-04,2633
2019-05-05,4433
2019-05-06,4608
2019-05-07,4714
2019-05-08,4333
2019-05-09,4362
2019-05-10,4803
2019-05-11,4182
2019-05-12,4864
2019-05-13,4105
2019-05-14,3409
2019-05-15,4553
2019-05-16,3958
2019-05-17,4123
2019-05-18,3855
2019-05-19,4575
2019-05-20,4917
2019-05-21,5805
2019-05-22,4660
2019-05-23,4274
2019-05-24,4492
2019-05-25,4978
2019-05-26,4677
2019-05-27,4679
2019-05-28,4758
2019-05-29,4788
2019-05-30,4098
2019-05-31,3982
2019-06-01,3974
2019-06-02,4968
2019-06-03,5312
2019-06-04,5342
2019-06-05,4906
2019-06-06,4548
2019-06-07,4833
2019-06-08,4401
2019-06-09,3915
2019-06-10,4586
2019-06-11,4966
2019-06-12,4460
2019-06-13,5020
2019-06-14,4891
2019-06-15,5180
2019-06-16,3767
2019-06-17,4844
2019-06-18,5119
2019-06-19,4744
2019-06-20,4010
2019-06-21,4835
2019-06-22,4507
2019-06-23,4790
2019-06-24,4991
2019-06-25,5202
2019-06-26,5305
2019-06-27,4708
2019-06-28,4648
2019-06-29,5225
2019-06-30,5515
2019-07-01,5362
2019-07-02,5119
2019-07-03,4649
2019-07-04,6043
2019-07-05,4665
2019-07-06,4629
2019-07-07,4592
2019-07-08,4040
2019-07-09,5336
2019-07-10,4881
2019-07-11,4086
2019-07-12,4258
2019-07-13,4342
2019-07-14,5084
2019-07-15,5538
2019-07-16,5923
2019-07-17,5302
2019-07-18,4458
2019-07-19,4541
2019-07-20,4332
2019-07-21,3784
2019-07-22,3387
2019-07-23,3285
2019-07-24,3606
2019-07-25,3840
2019-07-26,4590
2019-07-27,4656
2019-07-28,4390
2019-07-29,3846
2019-07-30,4475
2019-07-31,4302
2019-08-01,4266
2019-08-02,4845
2019-08-03,3574
2019-08-04,4576
2019-08-05,4866
2019-08-06,4294
2019-08-07,3785
2019-08-08,4326
2019-08-09,4602
2019-08-10,4780
2019-08-11,4792
2019-08-12,4905
2019-08-13,4150
2019-08-14,3820
2019-08-15,4338
2019-08-16,4725
2019-08-17,4694
2019-08-18,3805
2019-08-19,4153
2019-08-20,5191
2019-08-21,3873
2019-08-22,4758
2019-08-23,5895
2019-08-24,5130
2019-08-25,3542
2019-08-26,4661
2019-08-27,1115
2019-08-28,4334
2019-08-29,4634
2019-08-30,5204
2019-08-31,5058
2019-09-01,5115
2019-09-02,4727
2019-09-03,4484
2019-09-04,4940
2019-09-05,3351
2019-09-06,2710
2019-09-07,1996
2019-09-08,1842
2019-09-09,3544
2019-09-10,5345
2019-09-11,5046
2019-09-12,4713
2019-09-13,4763
2019-09-14,4785
2019-09-15,3659
2019-09-16,4760
2019-09-17,4511
2019-09-18,4274
2019-09-19,4539
2019-09-20,3641
2019-09-21,4352
2019-09-22,4795
2019-09-23,2395
2019-09-24,5423
2019-09-25,5010
2019-09-26,4630
2019-09-27,4120
2019-09-28,3907
2019-09-29,4839
2019-09-30,5202
2019-10-01,2429
2019-10-02,2918
